Array Size,Quick,Intro,std::sort,Merge,Heap
50000,3.35,2.2,7.4,42.25,26.75
100000,7,4.4,15.2,87.85,57.05
150000,10.2,7.45,22.15,132.9,87.65
200000,14.2,9.55,31.35,176.1,119.05
250000,16.65,13.1,38.55,216.3,152.05
300000,21.5,14.8,48.4,273.25,186.15
350000,25.2,17.5,59.25,318.1,218.7
400000,29.05,19.75,66.2,360.55,253.6
450000,32.6,22.35,75.1,402.85,289.1
500000,35.15,27.35,81.7,441.8,320.75
550000,40.2,29.9,88.55,499.25,356.05
600000,42.45,33,99.1,558.7,390.75
650000,47.7,33.9,115.05,604.75,424.8
700000,52.1,37,123.9,647.9,460.45
750000,60,40.6,135.05,708.85,502.25
800000,63.65,43.1,143.5,753.5,536.7
850000,65,44.4,148.65,784,570.15
900000,66.75,45.85,155.65,820.45,599.7
950000,69.7,51.95,164.55,864.25,638.75
1000000,73.1,59.3,173.2,904.65,676.5
1050000,74.3,59.5,183.8,958.4,712.95
1100000,81.05,63.6,189.4,1031,750.65
1150000,85.15,65.35,196.9,1092.7,790.35
1200000,91.6,69,212.75,1157.85,829.55
1250000,95.6,70.5,235.2,1194.4,857.6
1300000,99,71.95,244.1,1244.15,897.2
1350000,105.6,75.65,253.35,1292.05,931.5
1400000,111.75,78.7,261.8,1343.1,974.6
1450000,115.5,82.2,274.5,1396.1,1016.5
1500000,120.7,82.65,284.1,1447.8,1052.85
1550000,126.4,86.8,290.35,1492.65,1091.95
1600000,130.3,89.55,300.7,1547.7,1130.7
1650000,134.35,91.65,309.45,1571.85,1167.45
1700000,134.95,93.05,315.05,1630.4,1198.3
1750000,139.25,96.05,326.2,1661.65,1243.25
1800000,138.4,97.8,332.9,1712.05,1275.9
1850000,143.65,103.1,347.2,1765.5,1315.8
1900000,146.6,110.35,350.35,1792.3,1348.9
1950000,147.85,117.25,358.2,1814.95,1380.35
2000000,153.2,123.4,370.1,1883.45,1425.7
